estimand,metric_scale,stage,contrast_type,selection_method,target,grouping,equal_group_estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,confidence_level,bootstrap_samples,n_groups_total,n_groups_eligible,leave_one_group_out_min,leave_one_group_out_min_omitted,leave_one_group_out_max,leave_one_group_out_max_omitted,max_absolute_leave_one_out_change
selector_target_difference::raw_yes_minus_no::projector.output::logit_concept,raw_yes_minus_no,projector.output,selector_target_difference,logit_concept,,attribute_id,0.0022497191158026785,-0.037612704136141636,0.03998823406010694,0.95,10000,26,26,-0.003858208786231882,308,0.014423041213768119,2,0.01217332209796544
selector_target_difference::raw_yes_minus_no::projector.output::logit_concept,raw_yes_minus_no,projector.output,selector_target_difference,logit_concept,,class_id,0.024261959015376984,-0.02329230834315062,0.06874550277467757,0.95,10000,20,20,0.014838596600006958,56,0.039298890128968256,99,0.015036931113591272
selector_difference::raw_yes_minus_no::projector.output::target_0,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,attribute_id,0.14029015095074596,0.04604834548237273,0.23425882872654902,0.95,10000,26,26,0.12035116175068054,104,0.16061529865544244,102,0.020325147704696483
selector_difference::raw_yes_minus_no::projector.output::target_0,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,0,class_id,0.08604419849537037,0.01959716635406333,0.1508291002707506,0.95,10000,20,20,0.07425682261208577,130,0.10201746771442495,67,0.01597326921905458
selector_difference::raw_yes_minus_no::projector.output::target_1,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,attribute_id,0.158451207606198,0.050128691535194544,0.27470564951527116,0.95,10000,26,26,0.1251017559104459,2,0.17545669418205084,117,0.0333494516957521
selector_difference::raw_yes_minus_no::projector.output::target_1,raw_yes_minus_no,projector.output,selector_difference_by_target,vision_cls_attention_minus_logit_concept,1,class_id,0.09580337766617063,0.041909221023478854,0.15233582996186754,0.95,10000,20,20,0.0827954353113687,56,0.10712649951702172,67,0.013007942354801932
selector_difference_target_difference::raw_yes_minus_no::projector.output,raw_yes_minus_no,projector.output,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,attribute_id,0.018161056655452038,-0.051656123641857316,0.09940488986139032,0.95,10000,26,26,-0.009063889967218774,2,0.03449761796928917,310,0.02722494662267081
selector_difference_target_difference::raw_yes_minus_no::projector.output,raw_yes_minus_no,projector.output,selector_difference_target_difference,vision_cls_attention_minus_logit_concept,,class_id,0.009759179170800264,-0.0474314458937872,0.06456370003513556,0.95,10000,20,20,-0.002115735845690615,150,0.0237321684201824,92,0.013972989249382136
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_0,correct_answer_margin,vision.late,selector_effect_by_target,vision_cls_attention,0,attribute_id,-0.06239802908399702,-0.13110165211277022,0.007463416394702187,0.95,10000,26,26,-0.07553631135846801,102,-0.048333310366404515,104,0.014064718717592503
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_0,correct_answer_margin,vision.late,selector_effect_by_target,vision_cls_attention,0,class_id,-0.026463543388999117,-0.07925679971469562,0.021128075009300584,0.95,10000,20,20,-0.03526267428191428,123,-0.008981660060161977,99,0.01748188332883714
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_1,correct_answer_margin,vision.late,selector_effect_by_target,vision_cls_attention,1,attribute_id,0.09395836109802369,0.02283899515888927,0.16698497542366958,0.95,10000,26,26,0.07966113998638909,2,0.10677268512527797,102,0.014297221111634603
selector_effect::correct_answer_margin::vision.late::vision_cls_attention::target_1,correct_answer_margin,vision.late,selector_effect_by_target,vision_cls_attention,1,class_id,0.06537976784680886,0.026320102752201147,0.10357781853246939,0.95,10000,20,20,0.057498679696202315,130,0.07326012921844542,36,0.00788108815060655
selector_target_difference::correct_answer_margin::vision.late::vision_cls_attention,correct_answer_margin,vision.late,selector_target_difference,vision_cls_attention,,attribute_id,0.15635639018202072,0.02521914629919278,0.2932496823344283,0.95,10000,26,26,0.1282226249559682,104,0.182308996483746,102,0.028133765226052515
selector_target_difference::correct_answer_margin::vision.late::vision_cls_attention,correct_answer_margin,vision.late,selector_target_difference,vision_cls_attention,,class_id,0.09184331123580798,0.01833070801427125,0.16944301940272094,0.95,10000,20,20,0.06964688649430288,99,0.10570483532144888,36,0.0221964247415051
