stage,pooling,control,seed,attribute_id,attribute_name,attribute_group,train_observed,train_positive,train_negative,train_prevalence,validation_observed,validation_positive,validation_negative,threshold_selected_on_train,auroc,f1,train_loss
vision.early,mean,primary,1,111,has_breast_color::grey,has_breast_color,145,40,105,0.27586206793785095,75,19,56,4.263790130615234,0.5375939849624061,0.15384615384615385,0.011673735454678535
vision.early,mean,primary,1,117,has_breast_color::black,has_breast_color,145,50,95,0.3448275923728943,75,30,45,4.578608512878418,0.5362962962962963,0.391304347826087,0.011673735454678535
vision.early,mean,primary,1,118,has_breast_color::white,has_breast_color,145,51,94,0.35172414779663086,75,41,34,4.222740650177002,0.5387374461979914,0.3793103448275862,0.011673735454678535
vision.early,mean,primary,1,120,has_breast_color::buff,has_breast_color,145,52,93,0.35862070322036743,75,26,49,4.179220199584961,0.4717425431711146,0.24390243902439024,0.011673735454678535
vision.early,mean,primary,1,294,has_crown_color::blue,has_crown_color,155,11,144,0.07096774131059647,75,4,71,10.887150764465332,0.7711267605633803,0.0,0.011673735454678535
vision.early,mean,primary,1,295,has_crown_color::brown,has_crown_color,155,60,95,0.3870967626571655,75,33,42,4.626612186431885,0.5584415584415584,0.32,0.011673735454678535
vision.early,mean,primary,1,299,has_crown_color::grey,has_crown_color,155,36,119,0.23225806653499603,75,18,57,4.398421287536621,0.4415204678362573,0.13793103448275862,0.011673735454678535
vision.early,mean,primary,1,305,has_crown_color::black,has_crown_color,155,45,110,0.29032257199287415,75,24,51,4.128641605377197,0.5661764705882353,0.4,0.011673735454678535
vision.early,mean,primary,1,306,has_crown_color::white,has_crown_color,155,20,135,0.12903225421905518,75,10,65,8.316915512084961,0.5953846153846154,0.15384615384615385,0.011673735454678535
vision.early,mean,primary,1,308,has_crown_color::buff,has_crown_color,155,31,124,0.20000000298023224,75,16,59,4.964476585388184,0.6197033898305084,0.3333333333333333,0.011673735454678535
vision.early,mean,primary,1,309,has_wing_pattern::solid,has_wing_pattern,151,32,119,0.21192052960395813,72,18,54,4.755863189697266,0.573045267489712,0.3225806451612903,0.011673735454678535
vision.early,mean,primary,1,310,has_wing_pattern::spotted,has_wing_pattern,151,31,120,0.20529800653457642,72,7,65,4.524633884429932,0.7384615384615385,0.3333333333333333,0.011673735454678535
vision.early,mean,primary,1,311,has_wing_pattern::striped,has_wing_pattern,151,55,96,0.3642384111881256,72,33,39,4.458395481109619,0.6317016317016317,0.3333333333333333,0.011673735454678535
vision.early,mean,primary,1,312,has_wing_pattern::multi-colored,has_wing_pattern,151,33,118,0.21854305267333984,72,14,58,4.635982036590576,0.5086206896551724,0.23809523809523808,0.011673735454678535
